run;repetition;Module;queueingTime:mean
binomialCQITwoChunks-0-20171219-21:40:57-7740;0;Network.antenna;0.0010160545251271
binomialCQITwoChunks-1-20171219-21:40:57-7408;1;Network.antenna;0.0011488288855327
binomialCQITwoChunks-2-20171219-21:40:57-10308;2;Network.antenna;0.0010108171653304
binomialCQITwoChunks-3-20171219-21:40:57-10344;3;Network.antenna;0.001036591256204
binomialCQITwoChunks-4-20171219-21:40:57-8956;4;Network.antenna;0.0010945521321883
binomialCQITwoChunks-5-20171219-21:40:57-8952;5;Network.antenna;0.0010506004068642
binomialCQITwoChunks-6-20171219-21:40:57-15244;6;Network.antenna;0.0010992257118205
binomialCQITwoChunks-7-20171219-21:40:57-6436;7;Network.antenna;0.0010244989383538
binomialCQITwoChunks-8-20171219-21:41:09-4472;8;Network.antenna;0.00099263748180245
binomialCQITwoChunks-9-20171219-21:41:09-8248;9;Network.antenna;0.00098882774180119
binomialCQITwoChunks-10-20171219-21:41:09-12952;10;Network.antenna;0.0010164486537793
binomialCQITwoChunks-11-20171219-21:41:09-1372;11;Network.antenna;0.0010008097548126
binomialCQITwoChunks-12-20171219-21:41:10-14092;12;Network.antenna;0.00103617250828
binomialCQITwoChunks-13-20171219-21:41:09-13348;13;Network.antenna;0.0010242516321352
binomialCQITwoChunks-14-20171219-21:41:10-9144;14;Network.antenna;0.001073361025707
binomialCQITwoChunks-15-20171219-21:41:09-5256;15;Network.antenna;0.00099554733705781
binomialCQITwoChunks-16-20171219-21:41:20-7892;16;Network.antenna;0.0011232865660709
binomialCQITwoChunks-17-20171219-21:41:20-5636;17;Network.antenna;0.0010610827364735
binomialCQITwoChunks-18-20171219-21:41:20-14428;18;Network.antenna;0.001052209198565
binomialCQITwoChunks-19-20171219-21:41:20-3348;19;Network.antenna;0.0011127944241752
binomialCQITwoChunks-20-20171219-21:41:20-14376;20;Network.antenna;0.0010001374293884
binomialCQITwoChunks-21-20171219-21:41:20-1512;21;Network.antenna;0.0010720627013789
binomialCQITwoChunks-22-20171219-21:41:20-11936;22;Network.antenna;0.0010419225034837
binomialCQITwoChunks-23-20171219-21:41:26-6308;23;Network.antenna;0.0010303604895632
binomialCQITwoChunks-24-20171219-21:41:30-820;24;Network.antenna;0.0010098565570098
binomialCQITwoChunks-25-20171219-21:41:30-11008;25;Network.antenna;0.0010300342452016
binomialCQITwoChunks-26-20171219-21:41:30-2460;26;Network.antenna;0.0010874903756643
binomialCQITwoChunks-27-20171219-21:41:30-13272;27;Network.antenna;0.00095434554507848
binomialCQITwoChunks-28-20171219-21:41:30-13812;28;Network.antenna;0.0010658972357323
binomialCQITwoChunks-29-20171219-21:41:30-12232;29;Network.antenna;0.0010182735155962
binomialCQITwoChunks-30-20171219-21:41:30-13084;30;Network.antenna;0.0010661297391021
binomialCQITwoChunks-31-20171219-21:41:36-14056;31;Network.antenna;0.0010138782009926
binomialCQITwoChunks-32-20171219-21:41:40-13112;32;Network.antenna;0.0010444117238847
