run;repetition;Module;throughput:mean
binomialCQITwoChunks-0-20171219-21:40:57-7740;0;Network.antenna;28857.501583316
binomialCQITwoChunks-1-20171219-21:40:57-7408;1;Network.antenna;28845.206164376
binomialCQITwoChunks-2-20171219-21:40:57-10308;2;Network.antenna;28839.345118388
binomialCQITwoChunks-3-20171219-21:40:57-10344;3;Network.antenna;28845.725047499
binomialCQITwoChunks-4-20171219-21:40:57-8956;4;Network.antenna;28854.03273297
binomialCQITwoChunks-5-20171219-21:40:57-8952;5;Network.antenna;28847.178364685
binomialCQITwoChunks-6-20171219-21:40:57-15244;6;Network.antenna;28800.303329963
binomialCQITwoChunks-7-20171219-21:40:57-6436;7;Network.antenna;28908.1910201
binomialCQITwoChunks-8-20171219-21:41:09-4472;8;Network.antenna;28903.219964223
binomialCQITwoChunks-9-20171219-21:41:09-8248;9;Network.antenna;28867.052588305
binomialCQITwoChunks-10-20171219-21:41:09-12952;10;Network.antenna;28743.167298141
binomialCQITwoChunks-11-20171219-21:41:09-1372;11;Network.antenna;28846.696147821
binomialCQITwoChunks-12-20171219-21:41:10-14092;12;Network.antenna;28835.536271819
binomialCQITwoChunks-13-20171219-21:41:09-13348;13;Network.antenna;28849.272785858
binomialCQITwoChunks-14-20171219-21:41:10-9144;14;Network.antenna;28830.619659782
binomialCQITwoChunks-15-20171219-21:41:09-5256;15;Network.antenna;28848.125020833
binomialCQITwoChunks-16-20171219-21:41:20-7892;16;Network.antenna;28870.495883379
binomialCQITwoChunks-17-20171219-21:41:20-5636;17;Network.antenna;28799.040010667
binomialCQITwoChunks-18-20171219-21:41:20-14428;18;Network.antenna;28793.350073888
binomialCQITwoChunks-19-20171219-21:41:20-3348;19;Network.antenna;28813.535405162
binomialCQITwoChunks-20-20171219-21:41:20-14376;20;Network.antenna;28775.10360996
binomialCQITwoChunks-21-20171219-21:41:20-1512;21;Network.antenna;28843.025077499
binomialCQITwoChunks-22-20171219-21:41:20-11936;22;Network.antenna;28847.732802969
binomialCQITwoChunks-23-20171219-21:41:26-6308;23;Network.antenna;28830.065221498
binomialCQITwoChunks-24-20171219-21:41:30-820;24;Network.antenna;28829.45967267
binomialCQITwoChunks-25-20171219-21:41:30-11008;25;Network.antenna;28841.323985289
binomialCQITwoChunks-26-20171219-21:41:30-2460;26;Network.antenna;28809.722114199
binomialCQITwoChunks-27-20171219-21:41:30-13272;27;Network.antenna;28834.539616226
binomialCQITwoChunks-28-20171219-21:41:30-13812;28;Network.antenna;28892.066754814
binomialCQITwoChunks-29-20171219-21:41:30-12232;29;Network.antenna;28824.136398484
binomialCQITwoChunks-30-20171219-21:41:30-13084;30;Network.antenna;28820.553104966
binomialCQITwoChunks-31-20171219-21:41:36-14056;31;Network.antenna;28902.547749469
binomialCQITwoChunks-32-20171219-21:41:40-13112;32;Network.antenna;28815.884267953
binomialCQITwoChunks-33-20171219-21:41:40-3960;33;Network.antenna;28919.760891546
binomialCQITwoChunks-34-20171219-21:41:40-3228;34;Network.antenna;28842.201753314
binomialCQITwoChunks-35-20171219-21:41:41-3168;35;Network.antenna;28810.805435495
binomialCQITwoChunks-36-20171219-21:41:41-4952;36;Network.antenna;28915.120943101
binomialCQITwoChunks-37-20171219-21:41:41-7432;37;Network.antenna;28834.786280152
binomialCQITwoChunks-38-20171219-21:41:45-10256;38;Network.antenna;28922.266419262
binomialCQITwoChunks-39-20171219-21:41:50-1856;39;Network.antenna;28890.804546616
binomialCQITwoChunks-40-20171219-21:41:50-8332;40;Network.antenna;28830.058554905
binomialCQITwoChunks-41-20171219-21:41:51-3904;41;Network.antenna;28747.712803191
binomialCQITwoChunks-42-20171219-21:41:51-2680;42;Network.antenna;28820.944211731
binomialCQITwoChunks-43-20171219-21:41:51-4748;43;Network.antenna;28848.835012944
binomialCQITwoChunks-44-20171219-21:41:51-11824;44;Network.antenna;28895.375606938
binomialCQITwoChunks-45-20171219-21:41:52-14408;45;Network.antenna;28865.667048144
binomialCQITwoChunks-46-20171219-21:41:55-7268;46;Network.antenna;28855.369384785
binomialCQITwoChunks-47-20171219-21:42:01-11280;47;Network.antenna;28888.887901246
binomialCQITwoChunks-48-20171219-21:42:01-4376;48;Network.antenna;28896.23781958
binomialCQITwoChunks-49-20171219-21:42:01-15220;49;Network.antenna;28826.590815658
binomialCQITwoChunks-50-20171219-21:42:02-14400;50;Network.antenna;28906.51659426
binomialCQITwoChunks-51-20171219-21:42:02-11928;51;Network.antenna;28901.325540827
binomialCQITwoChunks-52-20171219-21:42:02-13908;52;Network.antenna;28891.056766036
binomialCQITwoChunks-53-20171219-21:42:03-14404;53;Network.antenna;28824.438617349
binomialCQITwoChunks-54-20171219-21:42:08-8852;54;Network.antenna;28822.143087299
binomialCQITwoChunks-55-20171219-21:42:13-15068;55;Network.antenna;28770.943656182
binomialCQITwoChunks-56-20171219-21:42:13-12648;56;Network.antenna;28793.026744147
binomialCQITwoChunks-57-20171219-21:42:14-11076;57;Network.antenna;28810.80987989
binomialCQITwoChunks-58-20171219-21:42:15-14968;58;Network.antenna;28920.235330719
binomialCQITwoChunks-59-20171219-21:42:15-3160;59;Network.antenna;28798.562238197
binomialCQITwoChunks-60-20171219-21:42:17-10648;60;Network.antenna;28852.291641204
binomialCQITwoChunks-61-20171219-21:42:17-7148;61;Network.antenna;28834.128509683
binomialCQITwoChunks-62-20171219-21:42:21-9396;62;Network.antenna;28877.99246675
binomialCQITwoChunks-63-20171219-21:42:25-12768;63;Network.antenna;28861.947089477
binomialCQITwoChunks-64-20171219-21:42:26-4464;64;Network.antenna;28894.558949345
binomialCQITwoChunks-65-20171219-21:42:27-10004;65;Network.antenna;28824.180842435
binomialCQITwoChunks-66-20171219-21:42:27-15296;66;Network.antenna;28854.510505439
binomialCQITwoChunks-67-20171219-21:42:28-9152;67;Network.antenna;28925.223053077
binomialCQITwoChunks-68-20171219-21:42:28-380;68;Network.antenna;28837.285141276
binomialCQITwoChunks-69-20171219-21:42:29-8352;69;Network.antenna;28868.519238675
binomialCQITwoChunks-70-20171219-21:42:32-6576;70;Network.antenna;28864.225953045
binomialCQITwoChunks-71-20171219-21:42:37-12956;71;Network.antenna;28795.226719703
binomialCQITwoChunks-72-20171219-21:42:37-2320;72;Network.antenna;28807.019922001
binomialCQITwoChunks-73-20171219-21:42:38-1276;73;Network.antenna;28940.580660215
binomialCQITwoChunks-74-20171219-21:42:39-3348;74;Network.antenna;28856.179375785
binomialCQITwoChunks-75-20171219-21:42:39-10308;75;Network.antenna;28790.754547172
binomialCQITwoChunks-76-20171219-21:42:40-2688;76;Network.antenna;28839.09067677
binomialCQITwoChunks-77-20171219-21:42:41-6584;77;Network.antenna;28811.907645471
binomialCQITwoChunks-78-20171219-21:42:44-14776;78;Network.antenna;28871.135876268
binomialCQITwoChunks-79-20171219-21:42:48-11852;79;Network.antenna;28751.508316574
binomialCQITwoChunks-80-20171219-21:42:48-3428;80;Network.antenna;28818.339796224
binomialCQITwoChunks-81-20171219-21:42:51-8700;81;Network.antenna;28869.021455317
binomialCQITwoChunks-82-20171219-21:42:51-4780;82;Network.antenna;28847.221697537
binomialCQITwoChunks-83-20171219-21:42:51-2180;83;Network.antenna;28753.596071155
binomialCQITwoChunks-84-20171219-21:42:51-12548;84;Network.antenna;28799.346673926
binomialCQITwoChunks-85-20171219-21:42:52-2588;85;Network.antenna;28769.381451317
binomialCQITwoChunks-86-20171219-21:42:56-3592;86;Network.antenna;28865.115943156
binomialCQITwoChunks-87-20171219-21:43:02-11724;87;Network.antenna;28810.700992211
binomialCQITwoChunks-88-20171219-21:43:02-9776;88;Network.antenna;28775.429161898
binomialCQITwoChunks-89-20171219-21:43:03-13500;89;Network.antenna;28875.396940034
binomialCQITwoChunks-90-20171219-21:43:04-10932;90;Network.antenna;28878.130242997
binomialCQITwoChunks-91-20171219-21:43:05-7224;91;Network.antenna;28812.51986089
binomialCQITwoChunks-92-20171219-21:43:05-13116;92;Network.antenna;28772.452528305
binomialCQITwoChunks-93-20171219-21:43:07-8212;93;Network.antenna;28839.538449573
binomialCQITwoChunks-94-20171219-21:43:09-6956;94;Network.antenna;28855.179386896
binomialCQITwoChunks-95-20171219-21:43:14-10940;95;Network.antenna;28835.997377807
binomialCQITwoChunks-96-20171219-21:43:14-9068;96;Network.antenna;28851.701647759
binomialCQITwoChunks-97-20171219-21:43:15-3484;97;Network.antenna;28902.48441684
binomialCQITwoChunks-98-20171219-21:43:16-13412;98;Network.antenna;28874.37472917
binomialCQITwoChunks-99-20171219-21:43:16-12644;99;Network.antenna;28833.98740014
