run;repetition;Module;resp:mean
binomialCQITwoChunks-100-20171219-21:43:17-1652;0;Network.user[1];0.000816551
binomialCQITwoChunks-100-20171219-21:43:17-1652;0;Network.user[9];0.000762798
binomialCQITwoChunks-100-20171219-21:43:17-1652;0;Network.user[8];0.000541077
binomialCQITwoChunks-100-20171219-21:43:17-1652;0;Network.user[7];0.000926717
binomialCQITwoChunks-100-20171219-21:43:17-1652;0;Network.user[6];0.000507248
binomialCQITwoChunks-100-20171219-21:43:17-1652;0;Network.user[5];0.000661651
binomialCQITwoChunks-100-20171219-21:43:17-1652;0;Network.user[4];0.000498654
binomialCQITwoChunks-100-20171219-21:43:17-1652;0;Network.user[3];0.000525763
binomialCQITwoChunks-100-20171219-21:43:17-1652;0;Network.user[2];0.000503589
binomialCQITwoChunks-100-20171219-21:43:17-1652;0;Network.user[0];0.000513094
binomialCQITwoChunks-101-20171219-21:43:20-12944;1;Network.user[0];0.00060908
binomialCQITwoChunks-101-20171219-21:43:20-12944;1;Network.user[9];0.000537455
binomialCQITwoChunks-101-20171219-21:43:20-12944;1;Network.user[8];0.000538982
binomialCQITwoChunks-101-20171219-21:43:20-12944;1;Network.user[7];0.001073473
binomialCQITwoChunks-101-20171219-21:43:20-12944;1;Network.user[6];0.000616196
binomialCQITwoChunks-101-20171219-21:43:20-12944;1;Network.user[5];0.00076359
binomialCQITwoChunks-101-20171219-21:43:20-12944;1;Network.user[4];0.000568882
binomialCQITwoChunks-101-20171219-21:43:20-12944;1;Network.user[3];0.000617921
binomialCQITwoChunks-101-20171219-21:43:20-12944;1;Network.user[2];0.000561314
binomialCQITwoChunks-101-20171219-21:43:20-12944;1;Network.user[1];0.000596776
binomialCQITwoChunks-102-20171219-21:43:21-12640;2;Network.user[9];0.000661043
binomialCQITwoChunks-102-20171219-21:43:21-12640;2;Network.user[0];0.000502353
binomialCQITwoChunks-102-20171219-21:43:21-12640;2;Network.user[1];0.000588275
binomialCQITwoChunks-102-20171219-21:43:21-12640;2;Network.user[2];0.000543773
binomialCQITwoChunks-102-20171219-21:43:21-12640;2;Network.user[3];0.000564163
binomialCQITwoChunks-102-20171219-21:43:21-12640;2;Network.user[4];0.000525641
binomialCQITwoChunks-102-20171219-21:43:21-12640;2;Network.user[5];0.001066935
binomialCQITwoChunks-102-20171219-21:43:21-12640;2;Network.user[6];0.000499475
binomialCQITwoChunks-102-20171219-21:43:21-12640;2;Network.user[7];0.000799456
binomialCQITwoChunks-102-20171219-21:43:21-12640;2;Network.user[8];0.000568582
binomialCQITwoChunks-103-20171219-21:43:25-12940;3;Network.user[1];0.000891283
binomialCQITwoChunks-103-20171219-21:43:25-12940;3;Network.user[9];0.000867273
binomialCQITwoChunks-103-20171219-21:43:25-12940;3;Network.user[8];0.000587509
binomialCQITwoChunks-103-20171219-21:43:25-12940;3;Network.user[7];0.000580129
binomialCQITwoChunks-103-20171219-21:43:25-12940;3;Network.user[0];0.000518996
binomialCQITwoChunks-103-20171219-21:43:25-12940;3;Network.user[6];0.000655719
binomialCQITwoChunks-103-20171219-21:43:25-12940;3;Network.user[5];0.000529239
binomialCQITwoChunks-103-20171219-21:43:25-12940;3;Network.user[4];0.000532169
binomialCQITwoChunks-103-20171219-21:43:25-12940;3;Network.user[3];0.000702102
binomialCQITwoChunks-103-20171219-21:43:25-12940;3;Network.user[2];0.000541646
binomialCQITwoChunks-104-20171219-21:43:26-7996;4;Network.user[6];0.000590909
binomialCQITwoChunks-104-20171219-21:43:26-7996;4;Network.user[0];0.000522478
binomialCQITwoChunks-104-20171219-21:43:26-7996;4;Network.user[1];0.000588036
binomialCQITwoChunks-104-20171219-21:43:26-7996;4;Network.user[2];0.000620626
binomialCQITwoChunks-104-20171219-21:43:26-7996;4;Network.user[3];0.000762534
binomialCQITwoChunks-104-20171219-21:43:26-7996;4;Network.user[4];0.000506443
binomialCQITwoChunks-104-20171219-21:43:26-7996;4;Network.user[5];0.001048078
binomialCQITwoChunks-104-20171219-21:43:26-7996;4;Network.user[7];0.000643246
binomialCQITwoChunks-104-20171219-21:43:26-7996;4;Network.user[8];0.000580985
binomialCQITwoChunks-104-20171219-21:43:26-7996;4;Network.user[9];0.00054953
binomialCQITwoChunks-105-20171219-21:43:27-4376;5;Network.user[0];0.000511182
binomialCQITwoChunks-105-20171219-21:43:27-4376;5;Network.user[1];0.000664481
binomialCQITwoChunks-105-20171219-21:43:27-4376;5;Network.user[2];0.000518718
