run;repetition;Module;queueingTime:mean
binomialCQITwoChunks-100-20171219-21:43:17-1652;0;Network.antenna;0.0006259606483976
binomialCQITwoChunks-101-20171219-21:43:20-12944;1;Network.antenna;0.00064854230110496
binomialCQITwoChunks-102-20171219-21:43:21-12640;2;Network.antenna;0.0006321614272894
binomialCQITwoChunks-103-20171219-21:43:25-12940;3;Network.antenna;0.00064084048990062
binomialCQITwoChunks-104-20171219-21:43:26-7996;4;Network.antenna;0.00064180172017863
binomialCQITwoChunks-105-20171219-21:43:27-4376;5;Network.antenna;0.00063014360142001
binomialCQITwoChunks-106-20171219-21:43:28-10708;6;Network.antenna;0.00063679982155327
binomialCQITwoChunks-107-20171219-21:43:28-12544;7;Network.antenna;0.00062398762090614
binomialCQITwoChunks-108-20171219-21:43:28-12300;8;Network.antenna;0.00063002056305904
binomialCQITwoChunks-109-20171219-21:43:30-3668;9;Network.antenna;0.00062962245105608
binomialCQITwoChunks-110-20171219-21:43:32-11788;10;Network.antenna;0.00062512018135451
binomialCQITwoChunks-111-20171219-21:43:35-12900;11;Network.antenna;0.0006248702102071
binomialCQITwoChunks-112-20171219-21:43:35-1560;12;Network.antenna;0.00062962397730048
binomialCQITwoChunks-113-20171219-21:43:37-200;13;Network.antenna;0.00062937990178818
binomialCQITwoChunks-114-20171219-21:43:37-4464;14;Network.antenna;0.00064284391919161
binomialCQITwoChunks-115-20171219-21:43:38-2464;15;Network.antenna;0.00063502280131828
binomialCQITwoChunks-116-20171219-21:43:38-1396;16;Network.antenna;0.000647505408263
binomialCQITwoChunks-117-20171219-21:43:40-14416;17;Network.antenna;0.00063389422455712
binomialCQITwoChunks-118-20171219-21:43:41-5556;18;Network.antenna;0.00063481668882853
binomialCQITwoChunks-119-20171219-21:43:45-14000;19;Network.antenna;0.00064761422014517
binomialCQITwoChunks-120-20171219-21:43:45-12224;20;Network.antenna;0.00063028082884122
binomialCQITwoChunks-121-20171219-21:43:46-2676;21;Network.antenna;0.00064148241285394
binomialCQITwoChunks-122-20171219-21:43:47-7056;22;Network.antenna;0.00063825789303466
binomialCQITwoChunks-123-20171219-21:43:47-13080;23;Network.antenna;0.00063749664035124
binomialCQITwoChunks-124-20171219-21:43:48-7540;24;Network.antenna;0.00062669702455343
binomialCQITwoChunks-125-20171219-21:43:49-1252;25;Network.antenna;0.00062501871116351
binomialCQITwoChunks-126-20171219-21:43:51-9540;26;Network.antenna;0.00064220178212301
binomialCQITwoChunks-127-20171219-21:43:55-11684;27;Network.antenna;0.0006273134227784
binomialCQITwoChunks-128-20171219-21:43:57-12792;28;Network.antenna;0.00062737976109707
binomialCQITwoChunks-129-20171219-21:43:58-4860;29;Network.antenna;0.0006268570659131
binomialCQITwoChunks-130-20171219-21:43:58-14764;30;Network.antenna;0.00063294170460307
binomialCQITwoChunks-131-20171219-21:43:58-14860;31;Network.antenna;0.00062918590917972
binomialCQITwoChunks-132-20171219-21:43:59-7120;32;Network.antenna;0.00063854553281123
binomialCQITwoChunks-133-20171219-21:43:59-12312;33;Network.antenna;0.00064345785924145
binomialCQITwoChunks-134-20171219-21:44:01-11380;34;Network.antenna;0.00063038272494755
binomialCQITwoChunks-135-20171219-21:44:05-13568;35;Network.antenna;0.00063967749444014
