run;repetition;Module;queuedPacketsPerSlot:mean
binomialCQITwoChunks-204-20171219-21:45:32-5936;4;Network.antenna;1.3973070940041
binomialCQITwoChunks-281-20171219-21:46:56-9272;81;Network.antenna;1.3914251628345
binomialCQITwoChunks-230-20171219-21:46:01-4624;30;Network.antenna;1.3873194996102
binomialCQITwoChunks-273-20171219-21:46:47-6336;73;Network.antenna;1.392781834728
binomialCQITwoChunks-257-20171219-21:46:30-1128;57;Network.antenna;1.3853625957739
binomialCQITwoChunks-214-20171219-21:45:43-10672;14;Network.antenna;1.3899193145252
binomialCQITwoChunks-212-20171219-21:45:41-468;12;Network.antenna;1.390793608443
binomialCQITwoChunks-247-20171219-21:46:21-8752;47;Network.antenna;1.3870415865688
binomialCQITwoChunks-222-20171219-21:45:52-9144;22;Network.antenna;1.3921259085632
binomialCQITwoChunks-239-20171219-21:46:13-11924;39;Network.antenna;1.3961244236735
binomialCQITwoChunks-265-20171219-21:46:39-1348;65;Network.antenna;1.3967680235591
binomialCQITwoChunks-291-20171219-21:47:08-3168;91;Network.antenna;1.3908223979134
binomialCQITwoChunks-275-20171219-21:46:50-6464;75;Network.antenna;1.3893290583418
binomialCQITwoChunks-245-20171219-21:46:18-8716;45;Network.antenna;1.3811477844952
binomialCQITwoChunks-259-20171219-21:46:33-13104;59;Network.antenna;1.3911902232062
binomialCQITwoChunks-232-20171219-21:46:04-6860;32;Network.antenna;1.3968296227273
binomialCQITwoChunks-288-20171219-21:47:05-15160;88;Network.antenna;1.3966289019905
binomialCQITwoChunks-216-20171219-21:45:46-10196;16;Network.antenna;1.3953153299974
binomialCQITwoChunks-229-20171219-21:45:59-14580;29;Network.antenna;1.3924758402779
binomialCQITwoChunks-250-20171219-21:46:22-2388;50;Network.antenna;1.388226049763
binomialCQITwoChunks-220-20171219-21:45:49-7512;20;Network.antenna;1.3917200521992
binomialCQITwoChunks-202-20171219-21:45:29-12624;2;Network.antenna;1.395692391637
binomialCQITwoChunks-263-20171219-21:46:38-9960;63;Network.antenna;1.3847731503327
binomialCQITwoChunks-293-20171219-21:47:10-13592;93;Network.antenna;1.3919563785947
binomialCQITwoChunks-209-20171219-21:45:38-15320;9;Network.antenna;1.391112577234
binomialCQITwoChunks-234-20171219-21:46:05-1208;34;Network.antenna;1.3944235055424
binomialCQITwoChunks-277-20171219-21:46:52-11008;77;Network.antenna;1.3866070203161
binomialCQITwoChunks-251-20171219-21:46:25-14712;51;Network.antenna;1.4012206139947
binomialCQITwoChunks-294-20171219-21:47:12-2916;94;Network.antenna;1.3985740026881
binomialCQITwoChunks-227-20171219-21:45:58-13924;27;Network.antenna;1.3914379550139
binomialCQITwoChunks-225-20171219-21:45:55-3096;25;Network.antenna;1.3815601627132
binomialCQITwoChunks-261-20171219-21:46:35-3668;61;Network.antenna;1.3919026902246
binomialCQITwoChunks-217-20171219-21:45:46-4568;17;Network.antenna;1.3907035315469
binomialCQITwoChunks-287-20171219-21:47:04-12400;87;Network.antenna;1.3858397222893
binomialCQITwoChunks-244-20171219-21:46:18-11744;44;Network.antenna;1.3889407269173
binomialCQITwoChunks-200-20171219-21:45:29-10292;0;Network.antenna;1.3917556697824
binomialCQITwoChunks-270-20171219-21:46:44-8200;70;Network.antenna;1.3945040745527
binomialCQITwoChunks-210-20171219-21:45:38-2420;10;Network.antenna;1.3976157962724
binomialCQITwoChunks-283-20171219-21:46:59-7620;83;Network.antenna;1.3892588104952
binomialCQITwoChunks-240-20171219-21:46:13-7092;40;Network.antenna;1.3909274230848
binomialCQITwoChunks-223-20171219-21:45:54-6872;23;Network.antenna;1.3962245290842
binomialCQITwoChunks-296-20171219-21:47:15-7024;96;Network.antenna;1.3903007962144
binomialCQITwoChunks-238-20171219-21:46:10-1468;38;Network.antenna;1.3949736477115
binomialCQITwoChunks-253-20171219-21:46:26-7268;53;Network.antenna;1.3841287861924
binomialCQITwoChunks-268-20171219-21:46:43-10584;68;Network.antenna;1.3929655907926
binomialCQITwoChunks-266-20171219-21:46:39-15264;66;Network.antenna;1.39529612731
binomialCQITwoChunks-255-20171219-21:46:30-7340;55;Network.antenna;1.396110330548
binomialCQITwoChunks-279-20171219-21:46:55-9984;79;Network.antenna;1.3913212680081
binomialCQITwoChunks-249-20171219-21:46:22-11504;49;Network.antenna;1.3908315003505
binomialCQITwoChunks-298-20171219-21:47:18-5272;98;Network.antenna;1.3849790520156
binomialCQITwoChunks-236-20171219-21:46:09-804;36;Network.antenna;1.3869102305732
binomialCQITwoChunks-242-20171219-21:46:14-7028;42;Network.antenna;1.3926979748319
binomialCQITwoChunks-219-20171219-21:45:48-4464;19;Network.antenna;1.3932138687619
binomialCQITwoChunks-285-20171219-21:47:01-10024;85;Network.antenna;1.3871307547366
binomialCQITwoChunks-272-20171219-21:46:47-5556;72;Network.antenna;1.3913284808745
binomialCQITwoChunks-207-20171219-21:45:37-13740;7;Network.antenna;1.3919407815561
binomialCQITwoChunks-256-20171219-21:46:30-2592;56;Network.antenna;1.3835598657494
binomialCQITwoChunks-299-20171219-21:47:18-10736;99;Network.antenna;1.397381444822
