run;repetition;Module;throughput:mean
binomialCQITwoChunks-204-20171219-21:45:32-5936;4;Network.antenna;7541.3162075977
binomialCQITwoChunks-281-20171219-21:46:56-9272;81;Network.antenna;7496.3178186909
binomialCQITwoChunks-230-20171219-21:46:01-4624;30;Network.antenna;7473.899178898
binomialCQITwoChunks-273-20171219-21:46:47-6336;73;Network.antenna;7511.7898690015
binomialCQITwoChunks-257-20171219-21:46:30-1128;57;Network.antenna;7460.1248875012
binomialCQITwoChunks-214-20171219-21:45:43-10672;14;Network.antenna;7501.0610993211
binomialCQITwoChunks-212-20171219-21:45:41-468;12;Network.antenna;7478.2913523183
binomialCQITwoChunks-247-20171219-21:46:21-8752;47;Network.antenna;7466.2137087366
binomialCQITwoChunks-222-20171219-21:45:52-9144;22;Network.antenna;7530.1241097321
binomialCQITwoChunks-239-20171219-21:46:13-11924;39;Network.antenna;7513.0176331374
binomialCQITwoChunks-265-20171219-21:46:39-1348;65;Network.antenna;7510.844323952
binomialCQITwoChunks-291-20171219-21:47:08-3168;91;Network.antenna;7485.136831813
binomialCQITwoChunks-275-20171219-21:46:50-6464;75;Network.antenna;7490.9323229742
binomialCQITwoChunks-245-20171219-21:46:18-8716;45;Network.antenna;7479.449117232
binomialCQITwoChunks-259-20171219-21:46:33-13104;59;Network.antenna;7515.9709336563
binomialCQITwoChunks-232-20171219-21:46:04-6860;32;Network.antenna;7511.8687570138
binomialCQITwoChunks-288-20171219-21:47:05-15160;88;Network.antenna;7518.3542405084
binomialCQITwoChunks-216-20171219-21:45:46-10196;16;Network.antenna;7506.1010433217
binomialCQITwoChunks-229-20171219-21:45:59-14580;29;Network.antenna;7533.8240686215
binomialCQITwoChunks-250-20171219-21:46:22-2388;50;Network.antenna;7488.4245730603
binomialCQITwoChunks-220-20171219-21:45:49-7512;20;Network.antenna;7497.9978000244
binomialCQITwoChunks-202-20171219-21:45:29-12624;2;Network.antenna;7561.5315385385
binomialCQITwoChunks-263-20171219-21:46:38-9960;63;Network.antenna;7485.3012744303
binomialCQITwoChunks-293-20171219-21:47:10-13592;93;Network.antenna;7518.2053532739
binomialCQITwoChunks-209-20171219-21:45:38-15320;9;Network.antenna;7476.6402595527
binomialCQITwoChunks-234-20171219-21:46:05-1208;34;Network.antenna;7519.0742325085
binomialCQITwoChunks-277-20171219-21:46:52-11008;77;Network.antenna;7470.0781102432
