run;repetition;Module;thr:mean
uniformCQI-0-20171221-10:07:24-10504;0;Network.user[0];41553.77162476
uniformCQI-0-20171221-10:07:24-10504;0;Network.user[1];41533.671848091
uniformCQI-0-20171221-10:07:24-10504;0;Network.user[2];41438.461794869
uniformCQI-0-20171221-10:07:24-10504;0;Network.user[3];41582.071310319
uniformCQI-0-20171221-10:07:24-10504;0;Network.user[4];41621.381984645
uniformCQI-0-20171221-10:07:24-10504;0;Network.user[5];41776.458039355
uniformCQI-0-20171221-10:07:24-10504;0;Network.user[6];41778.335796269
uniformCQI-0-20171221-10:07:24-10504;0;Network.user[7];41582.115754269
uniformCQI-0-20171221-10:07:24-10504;0;Network.user[8];41697.547805024
uniformCQI-0-20171221-10:07:24-10504;0;Network.user[9];41706.136598482
uniformCQI-1-20171221-10:07:24-2104;1;Network.user[0];41623.193075632
uniformCQI-1-20171221-10:07:24-2104;1;Network.user[1];41613.093187853
uniformCQI-1-20171221-10:07:24-2104;1;Network.user[2];41545.649492783
uniformCQI-1-20171221-10:07:24-2104;1;Network.user[3];41917.756469373
uniformCQI-1-20171221-10:07:24-2104;1;Network.user[4];41630.559660448
uniformCQI-1-20171221-10:07:24-2104;1;Network.user[5];41664.470394773
uniformCQI-1-20171221-10:07:24-2104;1;Network.user[6];41508.572126976
uniformCQI-1-20171221-10:07:24-2104;1;Network.user[7];41535.116276486
uniformCQI-1-20171221-10:07:24-2104;1;Network.user[8];41747.169475895
uniformCQI-1-20171221-10:07:24-2104;1;Network.user[9];41522.749747225
uniformCQI-2-20171221-10:07:24-7852;2;Network.user[0];41596.80447995
uniformCQI-2-20171221-10:07:24-7852;2;Network.user[1];41678.170242553
uniformCQI-2-20171221-10:07:24-7852;2;Network.user[2];41578.182464639
uniformCQI-2-20171221-10:07:24-7852;2;Network.user[3];41530.938545127
uniformCQI-2-20171221-10:07:24-7852;2;Network.user[4];41578.026910812
uniformCQI-2-20171221-10:07:24-7852;2;Network.user[5];41587.082365751
uniformCQI-2-20171221-10:07:24-7852;2;Network.user[6];41393.595626715
uniformCQI-2-20171221-10:07:24-7852;2;Network.user[7];41612.259863779
uniformCQI-2-20171221-10:07:24-7852;2;Network.user[8];41636.837368474
uniformCQI-2-20171221-10:07:24-7852;2;Network.user[9];41880.734658504
uniformCQI-3-20171221-10:07:24-14244;3;Network.user[0];41632.181864646
uniformCQI-3-20171221-10:07:24-14244;3;Network.user[1];41834.82405751
uniformCQI-3-20171221-10:07:24-14244;3;Network.user[2];41563.58262686
uniformCQI-3-20171221-10:07:24-14244;3;Network.user[3];41711.592093421
uniformCQI-3-20171221-10:07:24-14244;3;Network.user[4];41703.836624038
uniformCQI-3-20171221-10:07:24-14244;3;Network.user[5];41654.537171809
uniformCQI-3-20171221-10:07:24-14244;3;Network.user[6];41463.67262586
uniformCQI-3-20171221-10:07:24-14244;3;Network.user[7];41726.33637404
uniformCQI-3-20171221-10:07:24-14244;3;Network.user[8];41721.203097743
uniformCQI-3-20171221-10:07:24-14244;3;Network.user[9];41725.869712559
uniformCQI-4-20171221-10:07:37-9724;4;Network.user[0];41666.825924156
uniformCQI-4-20171221-10:07:37-9724;4;Network.user[1];41521.005322163
uniformCQI-4-20171221-10:07:37-9724;4;Network.user[2];41572.226975256
uniformCQI-4-20171221-10:07:37-9724;4;Network.user[3];41981.65575938
uniformCQI-4-20171221-10:07:37-9724;4;Network.user[4];41748.580571327
uniformCQI-4-20171221-10:07:37-9724;4;Network.user[5];41720.93643404
uniformCQI-4-20171221-10:07:37-9724;4;Network.user[6];41615.33760736
uniformCQI-4-20171221-10:07:37-9724;4;Network.user[7];41473.361407095
uniformCQI-4-20171221-10:07:37-9724;4;Network.user[8];41877.079143565
uniformCQI-4-20171221-10:07:37-9724;4;Network.user[9];41792.780080221
uniformCQI-5-20171221-10:07:37-10604;5;Network.user[0];41756.202708859
uniformCQI-5-20171221-10:07:37-10604;5;Network.user[1];41624.370840324
uniformCQI-5-20171221-10:07:37-10604;5;Network.user[2];41727.403028855
uniformCQI-5-20171221-10:07:37-10604;5;Network.user[3];41582.993522294
uniformCQI-5-20171221-10:07:37-10604;5;Network.user[4];41586.393484517
uniformCQI-5-20171221-10:07:37-10604;5;Network.user[5];42143.665070388
uniformCQI-5-20171221-10:07:37-10604;5;Network.user[6];41984.389062344
uniformCQI-5-20171221-10:07:37-10604;5;Network.user[7];41507.883245742
uniformCQI-5-20171221-10:07:37-10604;5;Network.user[8];41901.945533939
uniformCQI-5-20171221-10:07:37-10604;5;Network.user[9];41443.095076721
uniformCQI-6-20171221-10:07:37-2032;6;Network.user[0];41397.517805358
uniformCQI-6-20171221-10:07:37-2032;6;Network.user[1];41653.803846624
uniformCQI-6-20171221-10:07:37-2032;6;Network.user[2];41584.982389085
uniformCQI-6-20171221-10:07:37-2032;6;Network.user[3];41540.916212042
uniformCQI-6-20171221-10:07:37-2032;6;Network.user[4];41549.116120932
uniformCQI-6-20171221-10:07:37-2032;6;Network.user[5];41915.667603693
uniformCQI-6-20171221-10:07:37-2032;6;Network.user[6];41399.917778691
uniformCQI-6-20171221-10:07:37-2032;6;Network.user[7];41725.39194009
uniformCQI-6-20171221-10:07:37-2032;6;Network.user[8];41493.638959567
uniformCQI-6-20171221-10:07:37-2032;6;Network.user[9];41655.526049711
uniformCQI-7-20171221-10:07:37-11760;7;Network.user[0];41638.970678104
uniformCQI-7-20171221-10:07:37-11760;7;Network.user[1];41723.036410707
uniformCQI-7-20171221-10:07:37-11760;7;Network.user[2];41814.802057755
uniformCQI-7-20171221-10:07:37-11760;7;Network.user[3];42170.153664959
uniformCQI-7-20171221-10:07:37-11760;7;Network.user[4];41753.713847624
uniformCQI-7-20171221-10:07:37-11760;7;Network.user[5];41949.545005056
uniformCQI-7-20171221-10:07:37-11760;7;Network.user[6];41743.313963178
uniformCQI-7-20171221-10:07:37-11760;7;Network.user[7];41580.137998467
uniformCQI-7-20171221-10:07:37-11760;7;Network.user[8];41390.617882024
uniformCQI-7-20171221-10:07:37-11760;7;Network.user[9];41890.745658382
uniformCQI-8-20171221-10:07:53-15060;8;Network.user[0];41743.758402684
uniformCQI-8-20171221-10:07:53-15060;8;Network.user[1];41468.039244008
uniformCQI-8-20171221-10:07:53-15060;8;Network.user[2];41736.980700214
uniformCQI-8-20171221-10:07:53-15060;8;Network.user[3];41640.581771314
uniformCQI-8-20171221-10:07:53-15060;8;Network.user[4];41413.684292397
uniformCQI-8-20171221-10:07:53-15060;8;Network.user[5];41548.716125376
uniformCQI-8-20171221-10:07:53-15060;8;Network.user[6];41908.378795791
uniformCQI-8-20171221-10:07:53-15060;8;Network.user[7];41571.26031933
uniformCQI-8-20171221-10:07:53-15060;8;Network.user[8];41609.315452051
uniformCQI-8-20171221-10:07:53-15060;8;Network.user[9];41673.881401318
uniformCQI-9-20171221-10:07:53-11100;9;Network.user[0];41530.571882535
uniformCQI-9-20171221-10:07:53-11100;9;Network.user[1];42048.943900623
uniformCQI-9-20171221-10:07:53-11100;9;Network.user[2];41508.794346729
uniformCQI-9-20171221-10:07:53-11100;9;Network.user[3];41750.524994167
uniformCQI-9-20171221-10:07:53-11100;9;Network.user[4];41537.482916856
uniformCQI-9-20171221-10:07:53-11100;9;Network.user[5];41623.259741558
uniformCQI-9-20171221-10:07:53-11100;9;Network.user[6];41623.126409707
uniformCQI-9-20171221-10:07:53-11100;9;Network.user[7];41489.394562283
uniformCQI-9-20171221-10:07:53-11100;9;Network.user[8];41604.604393285
uniformCQI-9-20171221-10:07:53-11100;9;Network.user[9];41677.203586627
uniformCQI-10-20171221-10:07:53-14508;10;Network.user[0];41678.51468317
uniformCQI-10-20171221-10:07:53-14508;10;Network.user[1];41697.503361074
uniformCQI-10-20171221-10:07:53-14508;10;Network.user[2];41604.048843902
uniformCQI-10-20171221-10:07:53-14508;10;Network.user[3];41277.07469917
uniformCQI-10-20171221-10:07:53-14508;10;Network.user[4];41667.737025144
uniformCQI-10-20171221-10:07:53-14508;10;Network.user[5];41842.857301586
uniformCQI-10-20171221-10:07:53-14508;10;Network.user[6];41860.501549983
uniformCQI-10-20171221-10:07:53-14508;10;Network.user[7];41648.781680204
uniformCQI-10-20171221-10:07:53-14508;10;Network.user[8];41542.327307474
uniformCQI-10-20171221-10:07:53-14508;10;Network.user[9];41506.072154754
uniformCQI-11-20171221-10:07:54-8764;11;Network.user[0];41693.436739592
uniformCQI-11-20171221-10:07:54-8764;11;Network.user[1];41629.704114399
uniformCQI-11-20171221-10:07:54-8764;11;Network.user[2];41748.936122932
uniformCQI-11-20171221-10:07:54-8764;11;Network.user[3];41616.270930323
uniformCQI-11-20171221-10:07:54-8764;11;Network.user[4];41622.959744892
uniformCQI-11-20171221-10:07:54-8764;11;Network.user[5];41625.881934645
uniformCQI-11-20171221-10:07:54-8764;11;Network.user[6];41654.714947612
uniformCQI-11-20171221-10:07:54-8764;11;Network.user[7];41569.060343774
uniformCQI-11-20171221-10:07:54-8764;11;Network.user[8];41689.859001567
uniformCQI-11-20171221-10:07:54-8764;11;Network.user[9];41659.203786625
uniformCQI-12-20171221-10:08:12-5368;12;Network.user[0];41785.257941578
uniformCQI-12-20171221-10:08:12-5368;12;Network.user[1];41737.658470461
uniformCQI-12-20171221-10:08:12-5368;12;Network.user[2];41758.224908612
uniformCQI-12-20171221-10:08:12-5368;12;Network.user[3];41400.006666593
uniformCQI-12-20171221-10:08:12-5368;12;Network.user[4];41887.81235764
uniformCQI-12-20171221-10:08:12-5368;12;Network.user[5];41758.624904168
uniformCQI-12-20171221-10:08:12-5368;12;Network.user[6];41453.283852402
uniformCQI-12-20171221-10:08:12-5368;12;Network.user[7];41435.095165609
uniformCQI-12-20171221-10:08:12-5368;12;Network.user[8];41783.091298986
uniformCQI-12-20171221-10:08:12-5368;12;Network.user[9];41622.937522916
uniformCQI-13-20171221-10:08:13-12372;13;Network.user[0];41676.014710948
uniformCQI-13-20171221-10:08:13-12372;13;Network.user[1];41815.079832446
uniformCQI-13-20171221-10:08:13-12372;13;Network.user[2];41716.636481817
uniformCQI-13-20171221-10:08:13-12372;13;Network.user[3];41767.135920712
uniformCQI-13-20171221-10:08:13-12372;13;Network.user[4];41679.214675392
uniformCQI-13-20171221-10:08:13-12372;13;Network.user[5];41487.016810924
uniformCQI-13-20171221-10:08:13-12372;13;Network.user[6];41838.257352696
uniformCQI-13-20171221-10:08:13-12372;13;Network.user[7];41664.559282675
uniformCQI-13-20171221-10:08:13-12372;13;Network.user[8];41788.702347752
uniformCQI-13-20171221-10:08:13-12372;13;Network.user[9];41874.379173565
uniformCQI-14-20171221-10:08:12-3372;14;Network.user[0];41729.503005522
uniformCQI-14-20171221-10:08:12-3372;14;Network.user[1];41545.960600438
uniformCQI-14-20171221-10:08:12-3372;14;Network.user[2];41713.192075644
uniformCQI-14-20171221-10:08:12-3372;14;Network.user[3];41871.445872824
uniformCQI-14-20171221-10:08:12-3372;14;Network.user[4];41876.212486528
uniformCQI-14-20171221-10:08:12-3372;14;Network.user[5];41599.337785136
uniformCQI-14-20171221-10:08:12-3372;14;Network.user[6];41519.994222286
uniformCQI-14-20171221-10:08:12-3372;14;Network.user[7];41608.22657526
uniformCQI-14-20171221-10:08:12-3372;14;Network.user[8];41576.971366985
uniformCQI-14-20171221-10:08:12-3372;14;Network.user[9];41691.214542061
uniformCQI-15-20171221-10:08:12-7688;15;Network.user[0];41773.058077132
uniformCQI-15-20171221-10:08:12-7688;15;Network.user[1];41790.857879357
uniformCQI-15-20171221-10:08:12-7688;15;Network.user[2];42024.521949756
uniformCQI-15-20171221-10:08:12-7688;15;Network.user[3];41769.747002811
uniformCQI-15-20171221-10:08:12-7688;15;Network.user[4];41889.034566283
uniformCQI-15-20171221-10:08:12-7688;15;Network.user[5];41555.993822291
uniformCQI-15-20171221-10:08:12-7688;15;Network.user[6];41724.803057744
uniformCQI-15-20171221-10:08:12-7688;15;Network.user[7];41596.326707481
uniformCQI-15-20171221-10:08:12-7688;15;Network.user[8];41614.948722792
uniformCQI-15-20171221-10:08:12-7688;15;Network.user[9];41656.792702303
uniformCQI-16-20171221-10:08:25-11816;16;Network.user[0];41569.138120688
uniformCQI-16-20171221-10:08:25-11816;16;Network.user[1];41427.550804991
uniformCQI-16-20171221-10:08:25-11816;16;Network.user[2];41684.259063788
uniformCQI-16-20171221-10:08:25-11816;16;Network.user[3];41755.291607871
uniformCQI-16-20171221-10:08:25-11816;16;Network.user[4];41523.494183398
uniformCQI-16-20171221-10:08:25-11816;16;Network.user[5];41838.679570227
uniformCQI-16-20171221-10:08:25-11816;16;Network.user[6];41760.858212687
uniformCQI-16-20171221-10:08:25-11816;16;Network.user[7];41783.313518739
