run;repetition;Module;queuedPacketsPerSlot:mean
uniformCQI-100-20171219-11:14:48-6048;0;Network.antenna;3.6136886406969
uniformCQI-101-20171219-11:14:49-14072;1;Network.antenna;3.6218804582729
uniformCQI-102-20171219-11:14:49-7016;2;Network.antenna;3.6131326518318
uniformCQI-103-20171219-11:14:50-6108;3;Network.antenna;3.6277313645489
uniformCQI-104-20171219-11:14:58-6864;4;Network.antenna;3.6245774666138
uniformCQI-105-20171219-11:14:58-12388;5;Network.antenna;3.6262532935119
uniformCQI-106-20171219-11:14:58-9848;6;Network.antenna;3.6230489507382
uniformCQI-107-20171219-11:14:59-10720;7;Network.antenna;3.611214191049
uniformCQI-108-20171219-11:15:00-3404;8;Network.antenna;3.6231362696325
uniformCQI-109-20171219-11:15:00-3480;9;Network.antenna;3.626673385528
uniformCQI-110-20171219-11:15:00-8820;10;Network.antenna;3.6181742107124
uniformCQI-111-20171219-11:15:01-12072;11;Network.antenna;3.6264345087835
uniformCQI-112-20171219-11:15:08-10828;12;Network.antenna;3.6265707458946
uniformCQI-113-20171219-11:15:08-14788;13;Network.antenna;3.6253920064056
uniformCQI-114-20171219-11:15:08-10128;14;Network.antenna;3.618502140515
uniformCQI-115-20171219-11:15:09-11336;15;Network.antenna;3.6274284994564
uniformCQI-116-20171219-11:15:09-2616;16;Network.antenna;3.6360867522995
uniformCQI-117-20171219-11:15:09-7448;17;Network.antenna;3.6090339332743
uniformCQI-118-20171219-11:15:09-4560;18;Network.antenna;3.6137555641661
uniformCQI-119-20171219-11:15:10-9212;19;Network.antenna;3.5975654972451
uniformCQI-120-20171219-11:15:18-8352;20;Network.antenna;3.6282285106958
uniformCQI-121-20171219-11:15:18-13280;21;Network.antenna;3.6089938586393
uniformCQI-122-20171219-11:15:19-3008;22;Network.antenna;3.6247988785282
uniformCQI-123-20171219-11:15:19-260;23;Network.antenna;3.6249068205503
uniformCQI-124-20171219-11:15:19-5392;24;Network.antenna;3.6106237672218
uniformCQI-125-20171219-11:15:19-12248;25;Network.antenna;3.631496520688
uniformCQI-126-20171219-11:15:20-13432;26;Network.antenna;3.6065895386211
uniformCQI-127-20171219-11:15:20-3464;27;Network.antenna;3.627274545091
uniformCQI-128-20171219-11:15:28-7980;28;Network.antenna;3.6181557156883
uniformCQI-129-20171219-11:15:28-8224;29;Network.antenna;3.611513364554
uniformCQI-130-20171219-11:15:28-10076;30;Network.antenna;3.6386408932289
uniformCQI-131-20171219-11:15:29-13948;31;Network.antenna;3.6312238474357
uniformCQI-132-20171219-11:15:29-1132;32;Network.antenna;3.6251816840307
uniformCQI-133-20171219-11:15:29-2540;33;Network.antenna;3.6251508532929
uniformCQI-134-20171219-11:15:30-14612;34;Network.antenna;3.6104359516107
uniformCQI-135-20171219-11:15:30-8076;35;Network.antenna;3.6157328553882
uniformCQI-136-20171219-11:15:38-8712;36;Network.antenna;3.6186702791054
uniformCQI-137-20171219-11:15:38-9516;37;Network.antenna;3.6308303555071
uniformCQI-138-20171219-11:15:38-860;38;Network.antenna;3.6200124231664
uniformCQI-139-20171219-11:15:39-14352;39;Network.antenna;3.6243754969214
uniformCQI-140-20171219-11:15:39-1304;40;Network.antenna;3.621161628404
uniformCQI-141-20171219-11:15:39-10180;41;Network.antenna;3.622363469685
uniformCQI-142-20171219-11:15:40-2896;42;Network.antenna;3.6167742031013
uniformCQI-143-20171219-11:15:40-10132;43;Network.antenna;3.621786421481
uniformCQI-144-20171219-11:15:48-7760;44;Network.antenna;3.6248848965826
uniformCQI-145-20171219-11:15:48-11620;45;Network.antenna;3.6150676334852
uniformCQI-146-20171219-11:15:48-2440;46;Network.antenna;3.6263183183406
uniformCQI-147-20171219-11:15:48-880;47;Network.antenna;3.6225141532663
uniformCQI-148-20171219-11:15:48-15208;48;Network.antenna;3.6289942252166
uniformCQI-149-20171219-11:15:49-7412;49;Network.antenna;3.6278703116008
uniformCQI-150-20171219-11:15:49-7224;50;Network.antenna;3.6301860249884
uniformCQI-151-20171219-11:15:50-10396;51;Network.antenna;3.6264855656236
uniformCQI-152-20171219-11:15:58-10508;52;Network.antenna;3.6252364180926
uniformCQI-153-20171219-11:15:58-1648;53;Network.antenna;3.6163382225801
uniformCQI-154-20171219-11:15:58-14804;54;Network.antenna;3.6258507555486
uniformCQI-155-20171219-11:15:58-7956;55;Network.antenna;3.622372705743
uniformCQI-156-20171219-11:15:58-7848;56;Network.antenna;3.6145862141289
uniformCQI-157-20171219-11:15:59-5424;57;Network.antenna;3.6191401658809
uniformCQI-158-20171219-11:15:59-14204;58;Network.antenna;3.6354803832995
uniformCQI-159-20171219-11:16:00-12192;59;Network.antenna;3.6261413040458
uniformCQI-160-20171219-11:16:07-10892;60;Network.antenna;3.6300571720568
