run;repetition;Module;throughput:mean
uniformCQI-100-20171219-11:14:48-6048;0;Network.antenna;18708.783235742
uniformCQI-101-20171219-11:14:49-14072;1;Network.antenna;18747.832801858
uniformCQI-102-20171219-11:14:49-7016;2;Network.antenna;18736.526260819
uniformCQI-103-20171219-11:14:50-6108;3;Network.antenna;18765.205942156
uniformCQI-104-20171219-11:14:58-6864;4;Network.antenna;18765.250386107
uniformCQI-105-20171219-11:14:58-12388;5;Network.antenna;18766.333707403
uniformCQI-106-20171219-11:14:58-9848;6;Network.antenna;18741.962867079
uniformCQI-107-20171219-11:14:59-10720;7;Network.antenna;18731.085210164
uniformCQI-108-20171219-11:15:00-3404;8;Network.antenna;18767.665914823
uniformCQI-109-20171219-11:15:00-3480;9;Network.antenna;18737.644026177
uniformCQI-110-20171219-11:15:00-8820;10;Network.antenna;18741.040655104
uniformCQI-111-20171219-11:15:01-12072;11;Network.antenna;18798.213353185
uniformCQI-112-20171219-11:15:08-10828;12;Network.antenna;18745.070610327
uniformCQI-113-20171219-11:15:08-14788;13;Network.antenna;18740.722880857
uniformCQI-114-20171219-11:15:08-10128;14;Network.antenna;18685.037944023
uniformCQI-115-20171219-11:15:09-11336;15;Network.antenna;18755.334940723
uniformCQI-116-20171219-11:15:09-2616;16;Network.antenna;18777.463583738
uniformCQI-117-20171219-11:15:09-7448;17;Network.antenna;18737.238475128
uniformCQI-118-20171219-11:15:09-4560;18;Network.antenna;18742.193975622
uniformCQI-119-20171219-11:15:10-9212;19;Network.antenna;18714.998722236
uniformCQI-120-20171219-11:15:18-8352;20;Network.antenna;18758.276019155
uniformCQI-121-20171219-11:15:18-13280;21;Network.antenna;18751.046099488
uniformCQI-122-20171219-11:15:19-3008;22;Network.antenna;18784.980166887
uniformCQI-123-20171219-11:15:19-260;23;Network.antenna;18709.013233186
uniformCQI-124-20171219-11:15:19-5392;24;Network.antenna;18724.733058522
uniformCQI-125-20171219-11:15:19-12248;25;Network.antenna;18749.793891179
uniformCQI-126-20171219-11:15:20-13432;26;Network.antenna;18734.974055844
uniformCQI-127-20171219-11:15:20-3464;27;Network.antenna;18735.548493906
uniformCQI-128-20171219-11:15:28-7980;28;Network.antenna;18755.948267241
uniformCQI-129-20171219-11:15:28-8224;29;Network.antenna;18733.300741103
uniformCQI-130-20171219-11:15:28-10076;30;Network.antenna;18737.306252153
uniformCQI-131-20171219-11:15:29-13948;31;Network.antenna;18761.991533427
uniformCQI-132-20171219-11:15:29-1132;32;Network.antenna;18792.343418406
uniformCQI-133-20171219-11:15:29-2540;33;Network.antenna;18751.380540216
uniformCQI-134-20171219-11:15:30-14612;34;Network.antenna;18725.120831991
uniformCQI-135-20171219-11:15:30-8076;35;Network.antenna;18706.582149087
uniformCQI-136-20171219-11:15:38-8712;36;Network.antenna;18758.241575094
uniformCQI-137-20171219-11:15:38-9516;37;Network.antenna;18754.084954612
uniformCQI-138-20171219-11:15:38-860;38;Network.antenna;18722.339751781
uniformCQI-139-20171219-11:15:39-14352;39;Network.antenna;18790.520105332
uniformCQI-140-20171219-11:15:39-1304;40;Network.antenna;18792.242308419
uniformCQI-141-20171219-11:15:39-10180;41;Network.antenna;18762.370418106
