run;repetition;Module;packetsPerSlot:mean;queueingTime:mean;throughput:mean
uniformCQI-0-20171221-10:07:24-10504;0;Network.antenna;15.02489211;0.001312561;41626.99526
uniformCQI-1-20171221-10:07:24-2104;1;Network.antenna;15.18531545;0.001327143;41630.83299
uniformCQI-2-20171221-10:07:24-7852;2;Network.antenna;15.18155622;0.001326951;41607.26325
uniformCQI-3-20171221-10:07:24-14244;3;Network.antenna;15.19738133;0.001326343;41673.76362
uniformCQI-4-20171221-10:07:37-9724;4;Network.antenna;15.19615561;0.001325683;41696.97892
uniformCQI-5-20171221-10:07:37-10604;5;Network.antenna;15.1881252;0.001324428;41725.83416
uniformCQI-6-20171221-10:07:37-2032;6;Network.antenna;15.11216513;0.001321961;41591.64787
uniformCQI-7-20171221-10:07:37-11760;7;Network.antenna;15.25065211;0.001329024;41765.50372
uniformCQI-8-20171221-10:07:53-15060;8;Network.antenna;15.10204876;0.001318501;41631.45965
uniformCQI-9-20171221-10:07:53-11100;9;Network.antenna;15.35644116;0.001339583;41639.39067
uniformCQI-10-20171221-10:07:53-14508;10;Network.antenna;15.17234596;0.001324093;41632.54186
uniformCQI-11-20171221-10:07:54-8764;11;Network.antenna;15.18444326;0.001327405;41651.00277
uniformCQI-12-20171221-10:08:12-5368;12;Network.antenna;15.16926891;0.001326355;41662.19931
uniformCQI-13-20171221-10:08:13-12372;13;Network.antenna;15.39095816;0.001341913;41730.69966
uniformCQI-14-20171221-10:08:12-3372;14;Network.antenna;15.25585372;0.001331356;41673.20585
uniformCQI-15-20171221-10:08:12-7688;15;Network.antenna;15.36014862;0.001337716;41739.60845
uniformCQI-16-20171221-10:08:25-11816;16;Network.antenna;15.2852913;0.001333458;41666.94703
uniformCQI-17-20171221-10:08:25-1772;17;Network.antenna;15.18549122;0.001326006;41659.62489
uniformCQI-18-20171221-10:08:25-13028;18;Network.antenna;15.53092397;0.001354091;41703.49441
uniformCQI-19-20171221-10:08:26-13992;19;Network.antenna;15.21541951;0.001328347;41648.0628
uniformCQI-20-20171221-10:08:38-13180;20;Network.antenna;15.33490592;0.001336244;41651.71943
uniformCQI-21-20171221-10:08:38-14224;21;Network.antenna;15.27744716;0.001332607;41709.70323
uniformCQI-22-20171221-10:08:39-1148;22;Network.antenna;15.23861373;0.00132955;41679.59689
uniformCQI-23-20171221-10:08:39-11316;23;Network.antenna;15.35212501;0.00133874;41695.69005
uniformCQI-24-20171221-10:08:51-1420;24;Network.antenna;15.13835136;0.001324983;41538.00847
uniformCQI-25-20171221-10:08:51-12888;25;Network.antenna;15.2340368;0.001329504;41685.40461
uniformCQI-26-20171221-10:08:51-11280;26;Network.antenna;15.26661059;0.001333594;41602.17331
uniformCQI-27-20171221-10:08:51-10964;27;Network.antenna;15.33117106;0.001337707;41661.03932
